prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_f_01,F,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:14:59.643338Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_f/stage_f_01_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.50,0.00,1.87,1.33,0.83,0.00,1.83,2.00,1.50,,,,,,,
stage_f_02,F,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:20:11.033374Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_f/stage_f_02_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.3,0.67,1.33,1.67,1.83,0.17,1.67,1.33,2.00,1.33,,,,,,,
stage_f_03,F,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:25:32.040307Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_f/stage_f_03_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.0,0.50,0.00,0.67,1.37,0.33,0.00,1.67,1.33,1.33,,,,,,,
stage_f_04,F,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:30:28.175484Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_f/stage_f_04_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.5,0.67,2.00,2.00,1.83,0.33,1.00,1.37,2.00,1.83,,,,,,,
stage_f_05,F,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:35:42.120584Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_f/stage_f_05_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.0,0.50,0.00,1.67,1.50,0.83,0.00,1.17,2.00,1.33,,,,,,,
stage_f_06,F,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:41:02.608736Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_f/stage_f_06_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.5,0.50,1.67,1.67,2.00,0.67,1.67,1.50,2.00,1.33,,,,,,,
stage_f_07,F,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:46:29.028016Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_f/stage_f_07_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.3,0.67,1.00,1.17,1.17,1.00,1.00,1.33,1.33,1.33,,1,,,,,
stage_f_08,F,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:50:44.638300Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_f/stage_f_08_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.3,0.63,0.00,2.00,2.00,0.33,0.00,1.33,2.00,1.33,,,,,,,
stage_f_09,F,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:55:47.698499Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_f/stage_f_09_openrouter-anthropic_claude-sonnet-4.5.txt,None,,1,,0.5,0.50,0.33,1.00,2.00,0.63,0.33,1.67,2.00,2.00,,,,,,,
stage_f_10,F,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:00:18.960714Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_f/stage_f_10_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.50,0.00,1.67,1.75,0.00,0.00,1.33,2.00,1.00,,,,,,,
stage_f_11,F,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:04:38.552170Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_f/stage_f_11_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.5,0.50,0.67,1.17,1.67,0.33,0.00,0.67,2.00,1.33,,,,,,,
stage_f_12,F,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:09:39.912184Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_f/stage_f_12_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.5,1.50,2.00,1.33,1.67,0.17,1.33,1.00,2.00,1.33,,,,,,,
stage_f_13,F,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:14:44.998545Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_f/stage_f_13_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.0,0.50,0.00,0.67,1.33,0.00,0.00,1.33,2.00,1.74,,1,,,,,
stage_f_14,F,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:20:12.881791Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_f/stage_f_14_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.5,0.67,2.00,1.67,1.83,0.33,1.67,1.50,2.00,1.33,,,,,,,
stage_f_15,F,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:27:34.197979Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_f/stage_f_15_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,,0.5,0.50,1.00,0.67,2.00,1.21,0.33,1.50,2.00,1.67,,,,,,,
